pdb_id,bin,method,resolution_range,chiralfold_rama_outlier_pct,wwpdb_rama_outlier_pct
2QXZ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.15,0.0
6PD5,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.82,0.41
6TE6,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
2QYZ,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.8,2.4
6TC4,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.87,0.43
6TEL,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
6TA7,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.13,0.27
7V53,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.43,0.22
6T9W,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.73,0.07
7V1U,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
6TBD,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
6PDD,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.0,0.0
2QXX,xray_med,X-RAY DIFFRACTION,1.80-2.50,0.53,0.0
8KA3,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
8KC8,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
8KA5,xray_low,X-RAY DIFFRACTION,2.50-3.40,1.69,0.34
8K5T,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.48,0.68
8AEN,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.85,0.19
8A48,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
9VAR,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.27,0.0
8KBD,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.39,0.0
4G3Y,xray_low,X-RAY DIFFRACTION,2.50-3.40,1.04,1.74
9VEW,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
4G9J,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.83,1.16
8A4I,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.0
4G7W,xray_low,X-RAY DIFFRACTION,2.50-3.40,1.38,1.73
8A3X,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.0,0.09
8KHG,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.37,0.0
4G3M,xray_low,X-RAY DIFFRACTION,2.50-3.40,1.46,1.39
8AH2,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.42,0.21
9VGE,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.35,0.35
9VE0,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.41,0.0
8K6I,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.58,0.13
4G72,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.54,0.14
4G71,xray_low,X-RAY DIFFRACTION,2.50-3.40,0.54,0.4
2EOW,nmr,SOLUTION NMR,NMR,2.27,0.65
2RSY,nmr,SOLUTION NMR,NMR,2.26,1.37
1KLR,nmr,SOLUTION NMR,NMR,0.0,3.5
3USN,nmr,SOLUTION NMR,NMR,1.81,4.22
3ZD0,nmr,SOLUTION NMR,NMR,0.0,2.75
2ENS,nmr,SOLUTION NMR,NMR,1.06,0.6
2RSK,nmr,SOLUTION NMR,NMR,20.0,29.5
3GF1,nmr,SOLUTION NMR,NMR,4.41,11.21
2EOH,nmr,SOLUTION NMR,NMR,2.27,5.24
2EOC,nmr,SOLUTION NMR,NMR,3.28,3.04
2RS6,nmr,SOLUTION NMR,NMR,2.06,0.0
2RRK,nmr,SOLUTION NMR,NMR,0.72,0.82
2EOZ,nmr,SOLUTION NMR,NMR,0.0,1.6
2RRB,nmr,SOLUTION NMR,NMR,0.0,0.0
2RSG,nmr,SOLUTION NMR,NMR,3.26,1.38
8GH9,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.75,0.0
7YR3,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.71,0.16
7YUF,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.55,0.0
8GHL,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),1.01,0.43
8OOR,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.25,0.0
8GHB,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.15,0.0
8GHG,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.67,0.0
8OOS,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.11,0.0
8OM9,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.2,0.0
8YEF,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.53,0.0
7YU4,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.78,0.0
7YS6,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.0,0.0
8YF2,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.9,0.13
7YTW,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.2,0.0
8GGO,cryoem,ELECTRON MICROSCOPY,<=4.5 A (EM),0.36,0.0
